,Title,Department,Details,Amount,State,City,Date
943,"Paid bribe 7000 to custom dept. APSO , indian post vile parle mumbai",Customs Check and Clearance,"I ordered product from japan. Its been in 10 days in custom dept mumbai. I came to provide my invoice, they said need to pay 7000 for clearance of pro...","7,000", Maharashtra,Mumbai,"February  1, 2019"
944,Bribe in check post to pass through in highway,Protected Forest and Sanctuaries,"Tamil Nadu Check Post
SH17, Amaravathi R.F., Tamil Nadu 642101, India
https://maps.app.goo.gl/Zn9W9

In this exact location, forest officer take 100rs...",100, Tamil Nadu,Pollachi,"January 31, 2019"
945,"AR15 LPK & AR15 Lower Part Kit in Pomona, CA",Others,"Buy online original, inexpensive and best quality custom AR15 Lower Part Kit and AR15 LPK online at AR15 Handguard (ar15handguard.com) with over 3 MIL...",10, Delhi,New Delhi,"January 31, 2019"
946,For Pasport verification they asked me and threthen me to cancel my passport Id,Verification and Certificates,Sir the police officer in asked me the bribe even though I had enough of documents to proof he took away 1000 rupees from me otherwise he would cancel...,"1,000", West Bengal,Kolkata,"January 30, 2019"
947,Tamiya TNX & Terra Crusher For Sale â RB Innovations,Others,"Are you searching for best, cheap and inexpensive Tamiya TNX, Terra Crusher, tamiya terra crusher and tamiya accessories then you have visited the exa...","1,000", Delhi,New Delhi,"January 30, 2019"
948,Buy Bluefinâ¢ Hovershoes (Black) UK Online at Smartboardsuk.com,Others,"If youâre looking to buy best and cheap bluefin hover shoes, hover shoes uk, hover shoes for sale for sale online in Leeds, UK then look no further...","1,000", Delhi,New Delhi,"January 30, 2019"
949,Enterslice | Company Registration | LLP Registration | Trademark Registration,Others,"Enterslice is Award Winning Legal Technology & CPA firm that helps entrepreneurs register and manage their business around the world.
https://entersli...","4,999", Uttar Pradesh,Noida,"January 30, 2019"
950,Powermatic 3 (III) Cigarette Rolling Machine For Sale,Others,"If youâre looking to buy powermatic 3 or powermatic iii cigarette rolling machine for sale online cigarette makers in Fairfield, CA, USA then look n...","1,890", Delhi,New Delhi,"January 29, 2019"
951,AR15 Buffer Tube & AR15 Pistol Buffer Tube,Others,"As we know the use of an A1 A2 Buffer Tube, AR15 Buffer Tube and AR15 Pistol Buffer Tube is an exact way to get own security and protection and these ...","1,200", Delhi,New Delhi,"January 29, 2019"
952,AR10 Mlok Handguard and AR10 Lower Part Kit,Others,"Are you looking for best, cheap and inexpensive AR10 Lower Part Kit, AR10 Mlok Handguard and related items then you are the exact place and no need t...","1,000", Delhi,New Delhi,"January 29, 2019"
953,AR15 Gas Tube and AR15 Gas Block,Others,"Are you searching for best, cheap and inexpensive AR15 Gas Block and AR15 Gas Tube then you are the exact place and no need to go anywhere else as we ...","2,000", Delhi,New Delhi,"January 29, 2019"
954,AR15 Mlok Handguard & AR15 Keymod Handguard,Others,"If you are searching to buy online best, high quality & inexpensive AR15 Mlok Handguard, AR15 Keymod Handguard and several other related items then we...","1,000", Delhi,New Delhi,"January 29, 2019"
955,AR15 Upper Build and AR15 BCG at AR15 Handguard,Others,"Are you searching for best, cheap and inexpensive AR15 Upper Build and AR15 BCG then you are the exact place and no need to go anywhere else as we at ...","2,000", Delhi,New Delhi,"January 29, 2019"
956,AR15 Bird Cage Muzzle Brake & AR15 Muzzle Brake,Others,"If you are looking to buy online best, high quality & inexpensive AR15 Bird Cage Muzzle Brake, AR15 Muzzle Brake and several more other related items ...","2,899", Delhi,New Delhi,"January 29, 2019"
957,"AR15 LPK, Forward Assist, Upper Receiver, Dust Cover, Carry Handle & Lower Part Kit",Others,"Searching for best, cheap and inexpensive AR15 LPK, Forward Assist, Dust Cover, Carry Handle, upper receiver & Lower Part Kit online in Pomona, CA, US...","1,500", Delhi,New Delhi,"January 29, 2019"
958,Buy 1/5 Scale Crawler Online â RB Innovations,Others,"Searching for best, cheap and inexpensive 1/5 Scale Crawler and 1/5 Scale Supercharger System online then you have visited the exact place and no need...","1,500", Delhi,New Delhi,"January 29, 2019"
959,Best RC Nitro Engines For Sale â RB Innovations,Others,"Searching for best, cheap and inexpensive best rc nitro engines for sale online then you have visited the exact place and no need to go anywhere else ...","2,000", Delhi,New Delhi,"January 29, 2019"
960,Addl SP office (DIB office) employees take bribe,Background or Personal Verification,"For every police verification of each job the office employees charge 5000 Rs in the name of eating sweets (chai paani).

If not given the verificatio...","5,000", West Bengal,Jalpaiguri,"January 28, 2019"
961,Driving with foreign license ,"Traffic Fines, Penalties, Rules",3 friends and I rented scooters in Arpora. We drove from Arpora to Old Goa whilst near Panaji some highway police in a SUV with registration number GA...,"4,000", Goa,Panaji,"January 27, 2019"
962,Traffic Police in Chennai is corrupted !,"Traffic Fines, Penalties, Rules","Traffic Signal at New Woodlands hotel, Chennai Citi centre, Mylapore, I see traffic police officers threatening citizens and playing on their unawaren...",500, Tamil Nadu,Chennai,"January 26, 2019"
963,Food inspector ,Food and Supply,Kamlesh shukla... and his boss I donât know his name... mujhe bht pareshan kiya gya aur mujhe majboor kiya gya ye keh kar ki aapke upar muqdmaa laga...,"20,000", Uttar Pradesh,Lucknow,"January 25, 2019"
964,Wrong way driving 100 mtrs,Entry Tax,I had to pay 1500 for a wrong way driving for 100 mtrs...,"1,500", Maharashtra,Pune,"January 24, 2019"
965,GST State CTO is asking 5 % of refund amount as bribe,Commercial Tax,The State Tax department - GST dept is asking 5 % of refund application as a bribe for processing the refund application inspite of repeated submissio...,"3,75,000", Telangana,Hyderabad,"January 23, 2019"
966,Traffic police man threatened me to suspend my Driving License,Autorickshaws,Police man stopped me saying that he saw mobile in my hand while driving . He was lying as the phone was in my front pocket of my shirt and not in my ...,100, Maharashtra,Pune,"January 22, 2019"
967,Bribe for free smart licensed card,Entry Tax,"Getting bribe for smart card licence.
Time: 1.00 pm
Date: 22.01.2019...",200, Tamil Nadu,Chengalpattu,"January 22, 2019"
968,Bribe for using headset while driving bike.,"Traffic Fines, Penalties, Rules",The incident took place in perungalathur signal by 9AM on 22-Jan-2019. I was not able to see the name of the person as he wore a jerkin which hid his ...,200, Tamil Nadu,Chennai,"January 22, 2019"
969,Aadhar phone number update,,I have gone to Gandhinagar Gujarat head post office sector 11. I updated my phone number and been asked to pay 50 rs. I have asked them to pay receipt...,500, Gujarat,Gandhinagar,"January 22, 2019"
970,"SI Raghu Babu - Kushaiguda, Rachakonda Division, for taking station bail in the year 2013",FIR and Complaints,"SI Raghu Babu - Kushaiguda, Rachakonda Division, for taking station bail in the year 2013. ...","2,500", Telangana,Hyderabad,"January 22, 2019"
971,Tobacco Tubing Machine at Hard Working Products,Others,"Are you searching for best and high quality tobacco tubing machine at the best price in Fairfield, USA? Buy online best tobacco tubing machine and the...",200, Delhi,New Delhi,"January 21, 2019"
972,Fresh Choice Cigarette Rolling Machine Parts,Others,"Are you searching for best and high quality cigarette rolling machine parts at the best price in Fairfield, USA? Buy online best cigarette machine par...","2,000", Uttar Pradesh,Banda,"January 21, 2019"
973,Buy Hoverboard & Swegway Accessories Online UK,Others,Are you searching for best and high quality Hoverboard and Swegway Accessories online in UK at the best price? Buy online best Hoverboard and Swegway ...,"2,899", Tripura,Badharghat,"January 21, 2019"
974,"RB Innovations's 1/5 Scale RC Parts in Minoa, NY",Others,"RB improvements Inc. (rbinnovations.com) in Minoa, NY, USA designs and manufactures a number of the most superior nitrous rc upgrade within the farawa...",200, Delhi,New Delhi,"January 21, 2019"
975,"Cyclone Air Filters in Minoa, NY â RB Innovations",Others,RB improvements Inc. (rbinnovations.com) designs and manufactures a number of the most superior nitrous upgrade within the faraway manage enterprise l...,"2,000", Delhi,New Delhi,"January 21, 2019"
976,Police shaking down travellers for money as passage fee,"Traffic Fines, Penalties, Rules","Name of Officer:  Unknown
Date: 15-Jan-2019
Time of Incident: 1pm
Location: Madumalai National Park entrance near Karnataka-Tamil Nadu border.
Designa...","1,000", Tamil Nadu,Gudalur,"January 20, 2019"
977,Towed away vehicle,"Traffic Fines, Penalties, Rules","My vehicle was towed away by traffic police at around 8:00pm on 18th Jan from Thippasandra Road, which was closed for maintenance . When I reached the...",500, Karnataka,Bangalore,"January 19, 2019"
978,Indrapuram to NH24 crossing red light police people taking briebe by exploting incorrect charges,"Traffic Fines, Penalties, Rules","I was coming from sector 62 via NH24 , near Indirapuram crossing people were corssing the light was green towards the end I passed when it was green b...",200, Uttar Pradesh,Ghaziabad,"January 17, 2019"
979,Help for Learners licence test,Learners License,"The official helped me in answering the Online STALL questions
...",200, Karnataka,Udupi,"January 17, 2019"
980,Powermatic 3 or III Cigarette Machine For Sale,Others,Buy best and cheap powermatic 3 or powermatic cigarette rolling machine for sale online at Hard Working Products as this cigarette machine is quite ea...,"2,000", Delhi,New Delhi,"January 16, 2019"
981,Electric Cigarette Machine/Maker & Tobacco Rolling Machine,Others,"Buy best and cheap revolution electric tobacco rolling machine, electric cigarette maker and tobacco rolling machine for sale online at Hard Working P...","2,000", Delhi,New Delhi,"January 16, 2019"
982,Best & Inexpensive AR15 Handguard at AR15handguard.com,Others,"Are you looking for best, cheap and inexpensive AR15 Handguard, AR15 Mlok Handguard, AR Handguard or AR 15 Handguards then you have visited the exact ...","1,200", Delhi,New Delhi,"January 16, 2019"
983,Https://www.smartboardsuk.com/collections/hoverkarts,Others,"Visit our online hoverkart and hoverboard shopping store at Smart Boards UK to buy high-performance, best quality and reverberation priced hoverkarts ...","2,000", Delhi,New Delhi,"January 16, 2019"
984,Nitrous Oxide Kits For Sale â RB Innovations,Others,We at RB Innovations Inc. offer you best and a larger variety of nitrous oxide kits for sale and nitrous oxide systems at best market price with an ex...,"2,000", Delhi,New Delhi,"January 16, 2019"
985,Wheelie Bar Wheels & Wheelie Bar Parts,Others,We at RB Innovations Inc. offer you best and a larger variety of wheelie bar wheels and parts at best market price with an extension of objects beginn...,"2,000", Delhi,New Delhi,"January 16, 2019"
986,Best Quality Hoverboards Swegway For Sale UK,Others,"Smart Boards UK (smartboardsuk.com) was first established in 2015 and has since grown to be the largest supplier of hoverboards for sale UK, swegway f...","1,500", Delhi,New Delhi,"January 15, 2019"
987,Buy Hoverboards UK at Smartboardsuk.com,Others,Smart Boards UK (smartboardsuk.com) was first established in 2015 and has since grown to be the largest supplier of hoverboards UK and hoverboard part...,"1,500", Delhi,New Delhi,"January 15, 2019"
988,In sendwa boder asking for entry of vechiel,Driving and Transport Business,Asking for Rs 700 for entry at mp sendwa boder frm 1st of January after gov't change before this no one ask for this after form kamalnath govt congres...,"1,400", Madhya Pradesh,Indore,"January 15, 2019"
989,Bribe for job,Others,"His name is Nirmal Kumar Jain and he is working in BSNL, and was posted in Rajpura(Patiala) till 2017 currently he is transferred to Firozpur in punja...","2,00,000", Punjab,Firozpur,"January 13, 2019"
990,Police ask a passport verification fee,Verification and Certificates,10 January 2019 time 11:00am to 2:00 pmPolice office zira distt. Ferozpur Punjab two cops come in my house and verify my passport details etc after co...,200, Punjab,Firozpur,"January 12, 2019"
991,THE B REGISTRAR OFFICE PUNE,Government Personnel,It seems normal routine to take bribe to register your house to be purchase...and to do agreement for purchase and rent..I was shocked when even advoc...,"1,400", Maharashtra,Pune,"January 12, 2019"
992,Bribe against Raising SALARY,Employee Grievances,"The babu of BSA office named Mr.Naveen appointed at BHEETARGAON BLOCK Asking bribe that is 2500rs per month for releasing  Aairier Salary.
He even mak...","7,500", Uttar Pradesh,Kanpur,"January 12, 2019"
993,Talent Vs Bribe,Policies and Procedures,"Subject: More than 12 lakh Rs  as initial token of Bribe taken for 2nd December 2018 Sub Inspector Exam in Haryana, India

Case Summary:

Following pe...","12,00,000", Haryana,Gurgaon,"January 11, 2019"
994,"Had to pay bribe, else my license would be sent to my Home town RTO","Traffic Fines, Penalties, Rules","I took my car in yellow signal , and the traffic police stopped me.. I tried to explain that i took the car in yellow and not red, but he doesnt want ...",500, Maharashtra,Pune,"January 11, 2019"
